logFC,logCPM,F,PValue,FDR,feature,n_cells_found,mean_counts,name
-3.13911572365614,11.1913746579948,70.7442171926962,1.01630013012533e-12,1.69722121730931e-10,mmu-mir-465d,30,1.54385964912281,mmu-mir-465d
1.88265928271666,12.1750680822872,29.2689229747884,4.9251338482062e-07,4.11248676325218e-05,mmu-mir-8091,45,5.75438596491228,mmu-mir-8091
-1.5690773343071,11.4701321220003,25.6156184016729,1.77899646497697e-06,8.72467619121278e-05,mmu-mir-374b,43,2.2280701754386,mmu-mir-374b
-0.979988600764856,14.1623528016792,27.1915820106252,2.28652430224092e-06,8.72467619121278e-05,mmu-mir-200b,57,24.3859649122807,mmu-mir-200b
-2.06998516297712,11.1158054401215,24.4750736504998,2.61217850036311e-06,8.72467619121278e-05,mmu-mir-6974,29,1.40350877192982,mmu-mir-6974
-2.03162761214535,10.9167543109394,22.3583745158448,7.36963629655191e-06,0.000205121543587361,mmu-mir-6407,24,0.929824561403509,mmu-mir-6407
-1.68528875913699,11.3781268818166,21.7742462579998,8.90988732051303e-06,0.000212564454646525,mmu-mir-1188,38,2.15789473684211,mmu-mir-1188
-1.74185746259706,11.1401307527893,21.1860045806681,1.0565788903903e-05,0.000220560843368976,mmu-mir-351,35,1.3859649122807,mmu-mir-351
1.22509004400769,11.6095761550667,19.195621321034,3.14174645480401e-05,0.000582968508835854,mmu-let-7i,49,2.78947368421053,mmu-let-7i
1.4976773405672,14.4464326182099,18.8721798824205,5.32749147540654e-05,0.000889691076392893,mmu-mir-3970,50,32.0877192982456,mmu-mir-3970
-1.3072979370511,11.3983199347895,16.9274156197159,7.6702481964298e-05,0.00116448313527616,mmu-mir-421,44,1.98245614035088,mmu-mir-421
-1.00125799362519,13.7581030278788,17.3147711797451,9.94843578040275e-05,0.00138449064610605,mmu-mir-10a,57,17.2456140350877,mmu-mir-10a
1.55296585940815,11.5904904456872,16.1092498853035,0.00011689334099441,0.00150162984200511,mmu-mir-8098,37,2.96491228070175,mmu-mir-8098
1.57296765258112,13.970183101267,16.3586924375532,0.000147855376094742,0.00167918811795534,mmu-mir-540,49,24.9473684210526,mmu-mir-540
1.25017357972061,12.4295936930042,16.0752206032259,0.000150825280055869,0.00167918811795534,mmu-mir-1249,50,6.40350877192982,mmu-mir-1249
